課程代碼,course_name, ,人數指標,影片個數x,問題個數y,討論個數z,總登入次數, ,登入指標,影片觀看度a,作答度b,討論度c,參與指標,熱門參與度
XE05,105 年課文本位閱讀理解策略教學初階課程,3804,100,36,72,286,28381,7.460830705,2.61,52.48,49.44,0,34.16,41.02
C01,讓老闆不得不重用你~正在崛起的「專案管理」,1273,84.69,26,10,73,4758,3.737627651,5.12,12.42,8.11,1.2,7.3,22.34
C07,大學普通物理實驗─手作坊,1247,84.15,56,21,28,3939,3.158781075,5.64,7.24,26.17,0.4,11.23,24.7
D06,台灣傳統糕餅文化與製作、創新,1152,82.15,118,110,77,4904,4.256944444,3.61,10.83,12.44,0.8,8.05,21.98
C03,從車庫到金庫─看見台灣企業生命力,966,78.23,92,45,28,4377,4.531055901,4.93,5.82,12.45,1.2,6.48,20.52
XE02,軟體設計 I- 物件導向設計,805,74.84,10,24,1,1911,2.373913043,9.89,19.03,18.88,0,12.7,24.57
XE01,軟體設計 III- 設計樣式,714,72.93,20,40,21,2065,2.892156863,7.23,16.75,24.16,10.8,17.23,26.37
SD02,巧克力製作,699,72.61,49,0,3,1603,2.293276109,4.68,5.26,0,0.4,1.92,16.61
SD22,C#程式設計,596,70.44,88,0,1,1576,2.644295302,3,3.76,0,0,1.28,15.46
XE03,軟體測試,596,70.44,11,9,0,1322,2.218120805,20.16,18.47,24.55,0,14.38,26.75
SD06,讓老闆不得不重用你~正在崛起的「專案管理」,568,69.85,26,5,3,1260,2.218309859,8.53,7.29,4.72,1.2,4.43,18.34
E03,西餐烹調,557,69.62,116,41,85,2997,5.380610413,4.64,19.17,18.56,2.8,13.57,22.99
XE04,軟體安全設計,556,69.6,16,19,0,1374,2.471223022,13.01,15.34,24.75,0,13.39,24.55
E04,西式早午餐製作,531,69.07,72,38,115,3165,5.960451977,5.18,22.27,18.86,2,14.46,23.53
XD01,軟體設計,515,68.74,11,15,9,1310,2.54368932,16.96,21.92,32.94,3.2,19.38,28.77
E13,從善心到創新-善意企業賺錢法,508,68.59,117,30,217,1890,3.720472441,1.71,9.68,21.44,2.4,11.16,20.75
SD11,統計學,506,68.55,72,0,1,931,1.839920949,2.56,2.6,0,0.8,1.15,14.91
E35,大學普通物理實驗─手作坊,475,67.89,56,21,32,1224,2.576842105,4.6,4.26,22.75,4,10.27,20.66
F04,魔法程式設計創意課程,465,67.68,34,31,236,3322,7.144086022,3.03,17.54,40.94,0,19.47,25.83
E34,第一次開店就上手–店舖經營秘笈,438,67.12,220,46,209,1944,4.438356164,2.02,6.62,8.23,0.4,5.1,16.89
D11,大學普通物理實驗─手作坊,431,66.97,56,21,18,1222,2.835266821,5.06,6.22,17.79,7.6,10.49,20.7
E27,MOOCs on MOOCs Level1,398,66.27,22,66,162,2756,6.924623116,4.27,21.32,15.98,2.8,13.45,22.18
F15,飲食文化-掀起鍋蓋到台灣,396,66.23,86,291,3178,3928,9.919191919,0.31,28.28,55.19,0.4,27.96,30.08
SD07,數位平面媒體編輯,396,66.23,125,0,1,854,2.156565657,1.73,2.65,0,1.2,1.3,14.37
SD23,實用科技英文,378,65.85,48,48,2,750,1.984126984,4.13,5.75,0.73,0,2.19,15.31
SD05,I Fun 好聲音─玩出屬於你的耳機,371,65.71,27,7,0,803,2.164420485,8.02,5.91,2.54,0,2.85,16.45
C05,I Fun 好聲音─玩出屬於你的耳機,366,65.6,27,7,11,1531,4.183060109,15.49,5.97,5.11,3.2,4.77,19.08
