"1";"nyc, new york, usa";\N
"2";"stockton, california, usa";"18"
"3";"moscow, yukon territory, russia";\N
"4";"porto, v.n.gaia, portugal";"17"
"5";"farnborough, hants, united kingdom";\N
"6";"santa monica, california, usa";"61"
"7";"washington, dc, usa";\N
"8";"timmins, ontario, canada";\N
"9";"germantown, tennessee, usa";\N
"10";"albacete, wisconsin, spain";"26"
"11";"melbourne, victoria, australia";"14"
"12";"fort bragg, california, usa";\N
"13";"barcelona, barcelona, spain";"26"
"14";"mediapolis, iowa, usa";\N
"15";"calgary, alberta, canada";\N
"16";"albuquerque, new mexico, usa";\N
"17";"chesapeake, virginia, usa";\N
"18";"rio de janeiro, rio de janeiro, brazil";"25"
"19";"weston, ,";"14"
"20";"langhorne, pennsylvania, usa";"19"
"21";"ferrol / spain, alabama, spain";"46"
"22";"erfurt, thueringen, germany";\N
"23";"philadelphia, pennsylvania, usa";\N
"24";"cologne, nrw, germany";"19"
"25";"oakland, california, usa";"55"
"26";"bellevue, washington, usa";\N
"27";"chicago, illinois, usa";"32"
"28";"freiburg, baden-wuerttemberg, germany";"24"
"29";"cuernavaca, alabama, mexico";"19"
"30";"anchorage, alaska, usa";"24"
